,id_number,source,year,geographic_location_cleaned,hdi,demers_pelag,env_temp,form_clean,species_from_search,family,paper_id,nutrient,value,nut,species_short,species,country_sampled
114,A_34,WoS,2015,Bangladesh,Medium,pelagic,tropical,whole (minus parts)*,Ailia coila,Schilbeidae,Bogard_12,Vitamin A,37,vit_a,A. coi.,Ailia coila,Bangladesh
115,A_34,WoS,2015,Bangladesh,Medium,pelagic,tropical,whole (minus parts)*,Ailia coila,Schilbeidae,Bogard_12,Omega-3,1.006,o3,A. coi.,Ailia coila,Bangladesh
116,A_35,WoS,2015,Bangladesh,Medium,pelagic-neritic,tropical,whole (minus parts)*,Xenentodon cancila,Belonidae,Bogard_12,Protein,17.1,protein,X. can.,Xenentodon cancila,Bangladesh
117,A_35,WoS,2015,Bangladesh,Medium,pelagic-neritic,tropical,whole (minus parts)*,Xenentodon cancila,Belonidae,Bogard_12,Zinc,1.9,zn,X. can.,Xenentodon cancila,Bangladesh
118,A_35,WoS,2015,Bangladesh,Medium,pelagic-neritic,tropical,whole (minus parts)*,Xenentodon cancila,Belonidae,Bogard_12,Calcium,610,ca,X. can.,Xenentodon cancila,Bangladesh
119,A_35,WoS,2015,Bangladesh,Medium,pelagic-neritic,tropical,whole (minus parts)*,Xenentodon cancila,Belonidae,Bogard_12,Iron,0.65,fe,X. can.,Xenentodon cancila,Bangladesh
120,A_35,WoS,2015,Bangladesh,Medium,pelagic-neritic,tropical,whole (minus parts)*,Xenentodon cancila,Belonidae,Bogard_12,Selenium,29,se,X. can.,Xenentodon cancila,Bangladesh
121,A_35,WoS,2015,Bangladesh,Medium,pelagic-neritic,tropical,whole (minus parts)*,Xenentodon cancila,Belonidae,Bogard_12,Vitamin A,91,vit_a,X. can.,Xenentodon cancila,Bangladesh
122,A_36,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Anabas testudineus,Anabantidae,Bogard_12,Protein,15.5,protein,A. tes.,Anabas testudineus,Bangladesh
123,A_36,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Anabas testudineus,Anabantidae,Bogard_12,Zinc,0.6,zn,A. tes.,Anabas testudineus,Bangladesh
124,A_36,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Anabas testudineus,Anabantidae,Bogard_12,Calcium,85,ca,A. tes.,Anabas testudineus,Bangladesh
125,A_36,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Anabas testudineus,Anabantidae,Bogard_12,Iron,0.87,fe,A. tes.,Anabas testudineus,Bangladesh
126,A_36,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Anabas testudineus,Anabantidae,Bogard_12,Selenium,19,se,A. tes.,Anabas testudineus,Bangladesh
127,A_36,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Anabas testudineus,Anabantidae,Bogard_12,Vitamin A,295,vit_a,A. tes.,Anabas testudineus,Bangladesh
128,A_36,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Anabas testudineus,Anabantidae,Bogard_12,Omega-3,0.377,o3,A. tes.,Anabas testudineus,Bangladesh
129,A_37,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Eleotris fusca,Eleotridae,Bogard_12,Protein,16.9,protein,E. fus.,Eleotris fusca,Bangladesh
130,A_37,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Eleotris fusca,Eleotridae,Bogard_12,Zinc,2,zn,E. fus.,Eleotris fusca,Bangladesh
131,A_37,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Eleotris fusca,Eleotridae,Bogard_12,Calcium,980,ca,E. fus.,Eleotris fusca,Bangladesh
132,A_37,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Eleotris fusca,Eleotridae,Bogard_12,Iron,0.79,fe,E. fus.,Eleotris fusca,Bangladesh
133,A_37,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Eleotris fusca,Eleotridae,Bogard_12,Selenium,49,se,E. fus.,Eleotris fusca,Bangladesh
134,A_37,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Eleotris fusca,Eleotridae,Bogard_12,Vitamin A,37,vit_a,E. fus.,Eleotris fusca,Bangladesh
135,A_38,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Clarias batrachus,Clariidae,Bogard_12,Protein,16.5,protein,C. bat.,Clarias batrachus,Bangladesh
136,A_38,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Clarias batrachus,Clariidae,Bogard_12,Zinc,0.74,zn,C. bat.,Clarias batrachus,Bangladesh
