,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Fam_nc[10],-0.159,0.961,-1.596,1.836,0.192,0.137,25.0,25.0,26.0,1880.0,1.11
Fam_nc[11],0.195,0.823,-1.384,1.773,0.037,0.055,502.0,111.0,491.0,1707.0,1.05
Fam_nc[12],-0.286,0.994,-1.944,1.6,0.173,0.124,33.0,33.0,34.0,1160.0,1.08
Fam_nc[13],-0.218,0.879,-1.837,1.45,0.039,0.035,500.0,309.0,495.0,929.0,1.06
Fam_nc[14],0.212,0.918,-1.563,1.932,0.03,0.062,930.0,109.0,855.0,2009.0,1.06
Fam_nc[15],0.929,0.914,-1.042,2.523,0.059,0.042,238.0,234.0,228.0,281.0,1.1
Fam_nc[16],-0.057,0.932,-1.73,1.761,0.051,0.084,328.0,61.0,384.0,360.0,1.18
Fam_nc[17],0.209,0.966,-1.434,1.775,0.25,0.18,15.0,15.0,16.0,205.0,1.17
Fam_nc[18],-0.043,1.074,-1.844,1.783,0.261,0.188,17.0,17.0,18.0,534.0,1.15
Fam_nc[19],-0.201,0.889,-1.814,1.614,0.041,0.032,477.0,384.0,472.0,1009.0,1.04
Fam_nc[20],-0.24,0.881,-2.064,1.324,0.054,0.065,264.0,94.0,336.0,1726.0,1.04
Fam_nc[21],-0.229,0.959,-2.015,1.499,0.123,0.088,60.0,60.0,66.0,1123.0,1.04
Fam_nc[22],-0.424,1.085,-2.127,1.666,0.251,0.181,19.0,19.0,20.0,257.0,1.13
Fam_nc[23],-0.131,0.991,-1.885,1.615,0.17,0.121,34.0,34.0,36.0,238.0,1.08
Fam_nc[24],-0.035,0.912,-1.806,1.623,0.069,0.059,173.0,118.0,183.0,679.0,1.09
Fam_nc[25],-0.212,0.937,-2.076,1.422,0.072,0.053,167.0,159.0,239.0,360.0,1.04
Fam_nc[26],-0.183,0.921,-2.084,1.43,0.041,0.055,513.0,140.0,509.0,376.0,1.11
Fam_nc[27],0.307,0.823,-1.286,1.918,0.022,0.034,1459.0,285.0,1247.0,1858.0,1.1
Fam_nc[28],-0.225,1.026,-2.277,1.727,0.134,0.096,58.0,58.0,61.0,32.0,1.05
Fam_nc[29],0.131,0.932,-1.611,2.018,0.062,0.044,225.0,225.0,194.0,308.0,1.02
Fam_nc[30],0.032,0.943,-1.705,1.824,0.083,0.059,130.0,130.0,154.0,1020.0,1.03
