,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Gen_nc[125],0.371,0.532,-0.546,1.403,0.058,0.052,84.0,52.0,99.0,1115.0,1.08
Gen_nc[126],-0.128,0.513,-1.048,0.848,0.036,0.026,203.0,189.0,207.0,1272.0,1.08
Gen_nc[127],0.159,0.615,-1.015,1.462,0.025,0.04,589.0,120.0,599.0,1152.0,1.08
Gen_nc[128],0.438,0.458,-0.391,1.238,0.068,0.051,46.0,42.0,43.0,46.0,1.06
Gen_nc[129],-0.04,0.699,-1.311,1.244,0.054,0.038,166.0,166.0,173.0,1595.0,1.1
Gen_nc[130],-0.803,0.521,-1.853,0.16,0.023,0.034,498.0,116.0,369.0,1059.0,1.05
Gen_nc[131],-1.142,0.833,-2.425,0.525,0.092,0.065,82.0,82.0,122.0,77.0,1.11
Gen_nc[132],0.544,0.684,-0.727,1.902,0.039,0.045,311.0,115.0,269.0,920.0,1.05
Gen_nc[133],-0.023,0.55,-1.081,1.087,0.017,0.033,997.0,141.0,892.0,1077.0,1.08
Gen_nc[134],0.19,0.424,-0.659,0.888,0.066,0.047,42.0,42.0,47.0,1060.0,1.06
Gen_nc[135],0.696,0.666,-0.631,1.969,0.038,0.027,314.0,314.0,298.0,775.0,1.05
Gen_nc[136],-0.296,0.59,-1.393,0.875,0.04,0.028,219.0,219.0,189.0,1399.0,1.03
Gen_nc[137],0.531,0.579,-0.332,1.647,0.107,0.076,29.0,29.0,31.0,142.0,1.08
Gen_nc[138],0.473,0.69,-0.73,1.773,0.079,0.056,77.0,77.0,77.0,1329.0,1.04
Gen_nc[139],-0.659,0.674,-1.774,0.793,0.052,0.037,167.0,167.0,163.0,1336.0,1.05
Gen_nc[140],0.189,0.699,-1.252,1.095,0.125,0.089,31.0,31.0,25.0,150.0,1.11
Gen_nc[141],0.472,0.625,-0.604,1.651,0.065,0.068,93.0,43.0,117.0,1483.0,1.07
